Cycle Time,Max UE ID,Max optimal GU,Min UE ID,Min optimal GU
1,610389,265.25036984442465,135795,143.6411975720147
2,610389,375.1206704584648,135795,203.13932972185648
3,610389,459.4271172969791,135795,248.79385225476872
4,610389,530.5007396888493,135795,287.2823951440294
5,610389,593.1178580290939,135795,321.1914821405026
6,610389,649.7280602033626,135795,351.847640093742
7,610389,701.7865137762541,135795,380.03888679904577
8,610389,750.2413409169296,135795,406.27865944371297
9,610389,795.751109533274,135795,430.92359271604414
10,610389,838.7953189104245,135795,454.23335016181454
11,610389,879.7359522769572,135795,476.4039567836818
12,610389,918.8542345939582,135795,497.58770450953745
13,610389,956.3738093098601,135795,517.9057031149525
14,610389,992.4760056729115,135795,537.456147940384
15,610389,1027.3102649828147,135795,556.3199660257021
16,610389,1061.0014793776986,135795,574.5647902880588
17,610389,1093.6552921027123,135795,592.2478297796316
18,610389,1125.3620113753943,135795,609.4179891655695
19,610389,1156.1995568886355,135795,626.117464345572
20,610389,1186.2357160581878,135795,642.3829642810052
21,610389,1215.5298979271079,135795,658.2466607878644
22,610389,1244.1345150172826,135795,673.7369368516887
23,610389,1272.0960852702494,135795,688.8789833622586
24,610389,1299.4561204067252,135795,703.695280187484
